size,mean,std
750,701.3333333333334,578.7154357329304
750,671.2666666666667,558.7823627217389
750,686.8,613.3072313286384
750,645.8,543.9231195674624
750,660.2,613.0029581222807
750,668.0,590.5613149086779
750,653.2666666666667,575.6729356925588
750,640.6,563.0526677555721
750,657.8666666666667,569.8053312803905
750,682.1333333333333,593.2796829676727
750,670.2666666666667,566.4944208806376
750,691.6666666666666,621.6166199694328
750,687.2,618.5328016093138
750,680.4,607.0715279108385
750,646.1333333333333,532.163867828531
750,645.7333333333333,572.1262642303901
750,667.4666666666667,567.6045415212562
750,659.5333333333333,587.2300363192908
750,636.5333333333333,560.5045187646176
750,650.1333333333333,531.1434039461994
750,672.0,578.9668960024111
750,645.9333333333333,573.0795135833149
750,645.0,562.955001162023
750,632.4,566.730600314941
750,679.2,579.6959202892496
750,665.6666666666666,583.4534162115164
750,672.4,588.8957802531786
750,686.1333333333333,576.3283631943011
750,672.0666666666667,600.230285436811
750,637.6666666666666,560.6346602041496
750,659.0,606.983525311849
750,633.9333333333333,553.1291551005264
750,715.7333333333333,632.2492616752421
750,677.3333333333334,585.7868402603648
750,672.6666666666666,574.8387213432612
750,643.7333333333333,543.9246843288345
750,662.2,582.5242427001072
750,659.2666666666667,565.8186949505606
750,636.9333333333333,565.4814428628248
750,644.6666666666666,591.6290128863602
750,700.4,606.3990765164473
750,682.8666666666667,592.6126747060192
750,653.2,556.7612534411257
750,658.5333333333333,553.4020680200688
750,687.1333333333333,569.7816384857936
750,696.3333333333334,619.0125649415813
750,691.8666666666667,634.4608069499294
750,683.9333333333333,604.2448694215138
750,666.6666666666666,613.4782437507916
750,699.8666666666667,625.1293057351326
750,682.7333333333333,594.1985040558602
750,738.0666666666667,670.9651721380344
750,669.7333333333333,588.9911676379837
750,696.4,649.2716740060871
750,688.6,633.0771727575294
750,681.9333333333333,587.7218125005136
750,665.5333333333333,597.3904771773837
750,670.4666666666667,603.2394070534701
750,691.8666666666667,615.787178243335
750,682.4,566.4482088711494
750,696.4,631.0998653145158
750,679.8666666666667,609.2629280988263
750,680.2,589.5178481889529
750,656.0666666666667,593.2845260824598
750,679.0,622.732419797353
750,695.0,633.5968749922935
750,671.0666666666667,562.5858709763535
750,686.2,580.4190095669392
750,715.0666666666667,688.6360883821166
750,662.2,606.8122938767802
750,647.2666666666667,566.9355009365901
750,702.3333333333334,608.7565651026324
750,683.1333333333333,572.3683390575999
750,690.8666666666667,645.4042006543049
750,674.4,583.0534338005966
750,672.9333333333333,559.3037894462086
750,686.9333333333333,593.0732913299071
750,670.6,599.3932821334141
750,645.1333333333333,571.7688771600715
750,669.2666666666667,590.3209259001036
