,random5M,judy5M,karen5M,perfect5M
700,0.23065643968110075,0.3356233267084261,0.2748963391146693,0.15882389449580378
1000,0.2311862569434213,0.3454985950068291,0.2730963044618774,0.15021884358787221
750,0.23043426153751864,0.34873372587793755,0.2728741243960229,0.147957888188521
350,0.21062117028652635,0.3434805581756535,0.29032741375704535,0.15557085778077465
0,0.17079360028859814,0.2383415401364866,0.25336502633175034,0.3374998332431649
1250,0.1713807672300456,0.2400047294716388,0.25443224328589076,0.33418226001242496
250,0.2134023938556368,0.23066010897408867,0.2432570498513569,0.3126804473189176
350,0.19747608140573839,0.2523520796278611,0.2674691409856623,0.28270269798073827
600,0.20306698960817463,0.27184416848100995,0.26960511619180266,0.25548372571901273
700,0.20612123916338593,0.2846849291108382,0.27091394167022465,0.23827989005555114
1150,0.20633079899740453,0.2840283516601441,0.27168443073070386,0.23795641861174752
300,0.22100624593177476,0.28370407212608184,0.26164662416153106,0.2336430577806124
600,0.22411296360714136,0.29988618315554577,0.26439730995000527,0.21160354328730754
2300,0.2240837797039176,0.2999327259250233,0.26417386585743663,0.21180962851362242
500,0.24181412413401907,0.28778018460458626,0.282223877281691,0.18818181397970368
550,0.24283622359383197,0.2918082461346121,0.2846114037489581,0.1807441265225979
0,0.1832786474112437,0.21831577005271807,0.25114976833966435,0.3472558141963738
200,0.24361944897444376,0.20396295007311702,0.2332122828944511,0.3192053180579882
0,0.18358218891686562,0.18427104411765968,0.231229874375511,0.4009168925899636
0,0.16031455642893783,0.17663938287397535,0.2304615856025824,0.4325844750945043
500,0.18599682195465828,0.17986132606512376,0.2527154649551635,0.38142638702505444
400,0.17910129822306256,0.22393514617667457,0.26333007812105064,0.3336334774792121
700,0.18420427508414222,0.24087144991498674,0.2651753305121925,0.3097489444886784
0,0.16055564791615984,0.19857505148204918,0.24361725588576819,0.39725204471602266
0,0.15139054668967267,0.18218294675647165,0.23526235499465653,0.43116415155919907
200,0.21510697429058417,0.17165509271635432,0.2190066870596035,0.39423124593345793
0,0.1725320880023811,0.17175003048831333,0.22572445019658816,0.42999343131271733
600,0.18075645131947848,0.1997516580959961,0.23226760943660651,0.38722428114791896
0,0.15921943276972572,0.18263894441942172,0.2308637631502961,0.42727785966055637
0,0.15087269222858943,0.17600685740685976,0.23031969802427124,0.4428007523402794
1050,0.15363314457388696,0.18868848608522756,0.24302618709224486,0.41465218224864053
1100,0.15611107091497153,0.19528379582941457,0.25050307635211727,0.3981020569034967
300,0.17938227522847933,0.2101492972791948,0.24409073312478108,0.3663776943675448
400,0.1738650459949182,0.24791191485350095,0.2565025095614018,0.321720529590179
0,0.1565486465569066,0.20130360622582635,0.2402560763395486,0.4018916708777183
750,0.15970822476882668,0.2120956418667574,0.24175497187165818,0.3864411614927577
300,0.18236372957610827,0.22408357796223685,0.2368399801138071,0.3567127123478478
1500,0.1822537246805622,0.22583877384705725,0.23715051778661322,0.35475698368576736
300,0.201050274956777,0.23547439477391977,0.2330236380255746,0.3304516922437286
450,0.19955657394570317,0.25329621360606935,0.2413286804461978,0.3058185320020298
500,0.22034542206878993,0.24695917147300733,0.26222745029144784,0.2704679561667549
600,0.22352190603833916,0.2670206150936003,0.26491681552399404,0.24454066334406638
0,0.17579332176171625,0.20870924422599835,0.24351706757383898,0.3719803664384463
1050,0.17681385364841656,0.2191076419853421,0.2553021363683626,0.3487763679978788
850,0.17712164068243846,0.22399069275998754,0.25502554563867663,0.34386212091889734
0,0.15781075026181732,0.19203285996258626,0.2396836742392705,0.4104727155363258
250,0.20158641411957126,0.18888900143993545,0.23041485566701309,0.37910972877348037
0,0.16729215158975438,0.178429087029638,0.23014572249087592,0.4241330388897316
250,0.209842265694607,0.17704362897753523,0.2221097632823484,0.39100434204550927
500,0.22934850435499973,0.1802151633201258,0.24540510164421914,0.34503123068065533
